Вид породы,Происхождение,Структура,Минеральный состав,Плотность
Гранит,Магматическая,Кристаллическая,Полевошпатовый,2.60–2.75
Базальт,Магматическая,Кристаллическая,Полевошпатовый,2.80–3.00
Андезит,Магматическая,Кристаллическая,Полевошпатовый,2.40–2.80
Диорит,Магматическая,Кристаллическая,Полевошпатовый,2.80–2.85
Песчаник,Осадочная,Зернистая,Кварцевый,2.20–2.60
Известняк,Осадочная,Слоистая,Карбонатный,2.60–2.75
Конгломерат,Осадочная,Зернистая,Кварцевый,2.20–2.50
Глинистый сланец,Осадочная,Слоистая,Глинистый,2.40–2.80
Мрамор,Метаморфическая,Кристаллическая,Карбонатный,2.40–2.70
Кварцит,Метаморфическая,Кристаллическая,Кварцевый,2.60–2.70
Габбро,Магматическая,Кристаллическая,Полевошпатовый,2.70–3.30
Риолит,Магматическая,Кристаллическая,Полевошпатовый,2.50–2.55
Туф,Осадочная,Зернистая,Полевошпатовый,1.80–2.60
Доломит,Осадочная,Кристаллическая,Карбонатный,2.80–2.90
Обсидиан,Магматическая,Аморфная,Обсидиановый,2.30–2.60
Серпентинит,Метаморфическая,Кристаллическая,Глинистый,2.55–2.75
Кремень,Осадочная,Аморфная,Кварцевый,2.55–2.65
Гнейс,Метаморфическая,Кристаллическая,Полевошпатовый,2.60–2.90
Аргиллит,Осадочная,Слоистая,Глинистый,2.60–2.80
Дунит,Магматическая,Кристаллическая,Полевошпатовый,3.10–3.30
